mz,rt,mode
396.12,0.4,Negative
396.34,8.8,Negative
396.89,12.1,Negative
397.23,10,Negative
397.37,8.9,Negative
398.07,0.4,Negative
398.23,10,Negative
398.9,12.1,Negative
399.22,10,Negative
400.08,0.4,Negative
400.22,10,Negative
401.13,7.8,Negative
401.11,6.9,Negative
401.93,12,Negative
402.11,0.4,Negative
402.13,6.9,Negative
402.3,8.3,Negative
402.92,0.3,Negative
403.19,8.3,Negative
403.21,5.9,Negative
403.93,0.3,Negative
404.2,8.3,Negative
404.92,0.3,Negative
405.06,6.9,Negative
405.18,8.3,Negative
405.29,5.7,Negative
405.21,9.5,Negative
405.91,0.3,Negative
406.07,6.9,Negative
406.21,11.4,Negative
406.22,9.5,Negative
406.89,0.3,Negative
406.92,3.2,Negative
407.08,6.8,Negative
407.26,5,Negative
408.12,0.4,Negative
408.27,7.7,Negative
409.1,8,Negative
409.27,9,Negative
409.26,12.4,Negative
410.11,0.4,Negative
410.13,6.3,Negative
410.28,9.1,Negative
410.27,7.2,Negative
410.27,12.4,Negative
411.16,9.5,Negative
411.21,11.2,Negative
412.08,0.4,Negative
413.07,6.8,Negative
413.18,10.1,Negative
413.32,8,Negative
414.12,0.4,Negative
414.08,6.9,Negative
414.14,6.2,Negative
415.08,6.8,Negative
415.32,5.7,Negative
415.26,8.2,Negative
415.97,3.2,Negative
416.15,0.4,Negative
416.32,5.7,Negative
417.2,8.5,Negative
417.3,5.7,Negative
417.21,11.6,Negative
418.15,0.4,Negative
418.29,7.5,Negative
418.9,0.3,Negative
419.92,0.3,Negative
420.27,8,Negative
420.25,5.2,Negative
420.86,0.2,Negative
420.84,12.8,Negative
421.19,9.4,Negative
421.27,5.2,Negative
421.84,12.8,Negative
421.85,0.3,Negative
422.19,9.5,Negative
422.29,8.1,Negative
423.18,9.5,Negative
423.22,11.7,Negative
423.33,8.8,Negative
424.28,7.4,Negative
424.85,0.2,Negative
425.26,11.8,Negative
425.37,9.8,Negative
426.1,0.4,Negative
426.26,11.8,Negative
426.92,11.9,Negative
427.18,8,Negative
427.25,11.8,Negative
428.08,6.8,Negative
428.13,0.4,Negative
429.17,8.4,Negative
430.14,0.4,Negative
430.92,12,Negative
430.93,9.4,Negative
431.17,5.5,Negative
431.19,8.4,Negative
431.92,12,Negative
432.18,5.5,Negative
432.13,0.4,Negative
432.24,11.7,Negative
433.05,6.8,Negative
433.24,11.7,Negative
433.33,7.9,Negative
434.05,6.9,Negative
434.25,11.7,Negative
434.87,0.3,Negative
435.29,5.7,Negative
435.21,9.9,Negative
435.92,11.9,Negative
436.3,8.3,Negative
436.21,9.9,Negative
436.25,9,Negative
436.96,11.9,Negative
437.27,9,Negative
438.18,9.5,Negative
439.35,5.6,Negative
439.36,8,Negative
440.12,0.4,Negative
441.25,10.2,Negative
441.79,0.1,Negative
442.25,10.2,Negative
442.89,12,Negative
443.25,10.2,Negative
443.34,6.4,Negative
444.13,0.4,Negative
444.14,7.8,Negative
444.25,10.2,Negative
444.34,6.3,Negative
444.89,12,Negative
445.15,8,Negative
445.38,6.4,Negative
446.15,0.4,Negative
447.11,5.3,Negative
448.11,5.3,Negative
448.13,0.4,Negative
449.2,11.8,Negative
449.18,10,Negative
449.09,8,Negative
449.96,3.2,Negative
450.1,8,Negative
450.22,11.7,Negative
451.36,8,Negative
452.13,0.4,Negative
452.93,11.9,Negative
453.2,10.7,Negative
453.12,9.5,Negative
453.27,3.6,Negative
453.29,12.5,Negative
453.94,11.9,Negative
454.12,0.4,Negative
454.29,12.4,Negative
454.92,11.9,Negative
455.32,7.7,Negative
455.26,11.3,Negative
456.07,6.8,Negative
457.17,11.9,Negative
457.28,8.1,Negative
458.14,0.4,Negative
458.17,10.1,Negative
458.26,2.5,Negative
458.42,7.5,Negative
459.17,10.1,Negative
459.2,5.7,Negative
460.17,10.1,Negative
460.2,5.7,Negative
461.17,10.1,Negative
463.29,8.6,Negative
463.77,0.2,Negative
465.17,10,Negative
465.3,10.7,Negative
465.37,8.2,Negative
466.18,10,Negative
466.31,10.7,Negative
467.28,5,Negative
467.31,10.7,Negative
467.38,8.3,Negative
467.37,6.1,Negative
467.92,3.2,Negative
468.28,5,Negative
