ID,log2FC,FDR,label
ENSMUSG00000030061,1.01E+00,1.38E-01,
ENSMUSG00000030064,5.53E-01,9.03E-04,
ENSMUSG00000030067,-3.52E-02,9.10E-01,
ENSMUSG00000030082,6.57E-01,6.05E-01,
ENSMUSG00000030084,3.33E-01,8.04E-01,
ENSMUSG00000030094,-1.05E-01,8.87E-01,
ENSMUSG00000030095,6.46E-01,5.29E-04,
ENSMUSG00000030096,-2.92E-01,5.82E-01,
ENSMUSG00000030098,-3.60E-01,5.79E-01,
ENSMUSG00000030104,1.06E-01,9.29E-01,
ENSMUSG00000030105,-1.21E+00,1.89E-01,
ENSMUSG00000030110,-1.25E+00,4.35E-12,
ENSMUSG00000030117,7.73E-01,9.30E-03,
ENSMUSG00000030120,9.68E-01,2.09E-13,
ENSMUSG00000030125,-3.73E-02,9.65E-01,
ENSMUSG00000030126,-5.51E-01,6.13E-02,
ENSMUSG00000030127,2.50E-01,2.34E-01,
ENSMUSG00000030142,-2.17E+00,1.02E-24,
ENSMUSG00000030144,-2.35E+00,2.22E-01,
ENSMUSG00000030145,-2.28E-01,4.91E-01,
ENSMUSG00000030162,1.03E+00,3.30E-14,
ENSMUSG00000030177,9.72E-01,6.94E-02,
ENSMUSG00000030180,-1.68E+00,6.64E-02,
ENSMUSG00000030187,-2.02E+00,3.57E-02,
ENSMUSG00000030189,9.26E-01,8.98E-08,
ENSMUSG00000030201,8.85E-01,5.31E-04,
ENSMUSG00000030203,-1.45E+00,6.48E-15,
ENSMUSG00000030207,6.17E-01,5.55E-01,
ENSMUSG00000030213,-1.45E-01,6.91E-01,
ENSMUSG00000030232,4.30E-01,3.33E-01,
ENSMUSG00000030257,-1.79E+00,2.89E-02,
ENSMUSG00000030265,1.63E+00,2.13E-04,
ENSMUSG00000030270,5.85E-01,3.58E-01,
ENSMUSG00000030272,-6.57E-01,5.51E-02,
ENSMUSG00000030276,3.07E-02,9.76E-01,
ENSMUSG00000030279,3.58E-01,8.35E-01,
ENSMUSG00000030283,3.47E-01,2.51E-01,
ENSMUSG00000030286,-4.08E-01,5.57E-01,
ENSMUSG00000030291,-1.42E+00,4.04E-01,
ENSMUSG00000030298,1.46E-01,8.89E-01,
ENSMUSG00000030302,-4.21E-01,2.31E-01,
ENSMUSG00000030309,3.24E-01,3.59E-01,
ENSMUSG00000030330,-3.01E-01,5.42E-01,
ENSMUSG00000030337,-2.38E-01,6.97E-01,
ENSMUSG00000030340,8.39E-01,5.59E-01,
ENSMUSG00000030347,3.00E+00,2.34E-03,
ENSMUSG00000030397,-2.98E+00,4.78E-03,
ENSMUSG00000030399,-3.54E+00,1.03E-04,
ENSMUSG00000030403,8.43E-01,3.38E-01,
ENSMUSG00000030428,-5.40E-01,3.87E-01,
ENSMUSG00000030435,-7.94E-01,5.03E-02,
ENSMUSG00000030451,-1.70E+00,1.02E-01,
ENSMUSG00000030472,-2.82E-02,9.62E-01,
ENSMUSG00000030509,-1.42E-01,9.29E-01,
ENSMUSG00000030518,6.26E-01,4.53E-01,
ENSMUSG00000030519,8.88E-01,2.64E-01,
ENSMUSG00000030523,-7.47E-01,2.16E-06,
ENSMUSG00000030527,-2.25E-01,3.38E-01,
ENSMUSG00000030530,-1.22E+00,9.14E-04,
ENSMUSG00000030536,-3.14E-01,1.58E-01,
ENSMUSG00000030539,1.21E+00,1.39E-04,
ENSMUSG00000030556,-1.57E-01,8.38E-01,
ENSMUSG00000030577,3.69E-01,4.65E-01,
ENSMUSG00000030592,-2.03E-01,6.52E-01,
ENSMUSG00000030602,1.00E+00,1.80E-01,
ENSMUSG00000030603,3.47E-02,9.73E-01,
ENSMUSG00000030604,-1.30E+00,8.06E-04,
ENSMUSG00000030605,1.11E+00,1.76E-01,
ENSMUSG00000030649,-1.20E+00,3.83E-01,
ENSMUSG00000030652,-4.70E-01,5.46E-01,
ENSMUSG00000030678,3.48E-01,7.59E-01,
ENSMUSG00000030681,-3.52E-01,2.23E-01,
ENSMUSG00000030682,-1.87E-01,8.25E-01,
ENSMUSG00000030683,3.16E-01,4.12E-01,
ENSMUSG00000030688,-7.03E-01,2.71E-01,
ENSMUSG00000030691,-1.40E-01,4.45E-01,
ENSMUSG00000030697,-3.48E-01,8.42E-01,
ENSMUSG00000030699,1.54E-01,8.24E-01,
ENSMUSG00000030706,-1.82E+00,2.42E-01,
ENSMUSG00000030718,5.69E-01,7.09E-01,
ENSMUSG00000030729,5.36E-02,7.94E-01,
ENSMUSG00000030744,-1.16E+00,5.61E-01,
ENSMUSG00000030753,-2.08E-01,7.38E-01,
ENSMUSG00000030760,5.72E-01,6.54E-01,
ENSMUSG00000030779,2.75E-01,7.08E-01,
ENSMUSG00000030780,-8.19E-01,3.86E-01,
ENSMUSG00000030781,-2.70E-01,6.50E-01,
ENSMUSG00000030782,4.31E-01,5.01E-01,
ENSMUSG00000030788,-1.76E-01,9.34E-01,
ENSMUSG00000030789,2.61E-01,8.79E-01,
ENSMUSG00000030792,-1.21E+00,2.17E-01,
ENSMUSG00000030793,4.49E-02,9.68E-01,
ENSMUSG00000030795,-5.77E-02,8.81E-01,
ENSMUSG00000030796,1.03E+00,1.27E-03,
ENSMUSG00000030800,-8.86E-01,6.03E-01,
ENSMUSG00000030801,-1.92E+00,1.70E-01,
ENSMUSG00000030806,-1.12E-01,7.74E-01,
ENSMUSG00000030814,8.13E-01,5.73E-01,
ENSMUSG00000030816,1.30E-01,8.42E-01,
ENSMUSG00000030824,1.36E+00,2.84E-02,
ENSMUSG00000030826,7.41E-01,2.87E-04,
ENSMUSG00000030830,2.66E-01,8.17E-01,
ENSMUSG00000030835,3.62E-01,3.95E-01,
ENSMUSG00000030842,-4.01E+00,3.94E-08,
ENSMUSG00000030844,8.13E-01,1.25E-01,
ENSMUSG00000030846,3.63E-01,5.75E-02,
ENSMUSG00000030854,8.95E-02,9.38E-01,
ENSMUSG00000030871,-1.48E-01,7.21E-01,
ENSMUSG00000030876,2.58E-01,7.85E-01,
ENSMUSG00000030888,7.26E-01,7.81E-02,
ENSMUSG00000030909,6.22E-01,2.62E-01,
ENSMUSG00000030987,7.23E-01,2.83E-01,
ENSMUSG00000031148,9.27E-01,5.47E-01,
ENSMUSG00000031150,-5.11E-01,6.64E-01,
ENSMUSG00000031154,1.14E-01,7.08E-01,
ENSMUSG00000031156,-1.85E+00,4.84E-01,
ENSMUSG00000031157,-1.40E+00,5.36E-01,
ENSMUSG00000031158,9.16E-03,9.63E-01,
ENSMUSG00000031161,-2.73E+00,4.04E-06,
ENSMUSG00000031196,-1.40E+00,1.12E-01,
ENSMUSG00000031198,1.03E+00,1.42E-01,
ENSMUSG00000031201,1.06E+00,1.53E-01,
ENSMUSG00000031212,-5.04E-01,7.29E-01,
ENSMUSG00000031292,-6.11E-02,9.42E-01,
ENSMUSG00000031293,4.65E-01,7.19E-01,
ENSMUSG00000031337,7.68E-01,7.36E-07,
ENSMUSG00000031340,-7.31E-02,7.64E-01,
ENSMUSG00000031373,1.14E+00,4.07E-05,
ENSMUSG00000031390,1.81E+00,1.70E-01,
ENSMUSG00000031441,-2.03E-01,7.37E-01,
ENSMUSG00000031442,2.28E-03,9.94E-01,
ENSMUSG00000031444,-7.04E-01,3.34E-01,
ENSMUSG00000031445,-7.03E-01,3.70E-01,
ENSMUSG00000031446,-2.27E-01,8.70E-01,
ENSMUSG00000031448,8.96E-01,3.97E-01,
ENSMUSG00000031450,1.27E+00,3.43E-04,
ENSMUSG00000031482,-5.52E-01,4.84E-01,
ENSMUSG00000031503,-8.99E-01,4.33E-01,
ENSMUSG00000031505,2.23E-01,3.72E-01,
ENSMUSG00000031537,-6.73E-01,4.54E-02,
ENSMUSG00000031549,2.91E-02,9.00E-01,
ENSMUSG00000031565,3.40E-02,9.78E-01,
ENSMUSG00000031596,7.78E-01,1.07E-01,
ENSMUSG00000031626,2.35E-02,9.44E-01,
ENSMUSG00000031637,-2.39E+00,9.40E-02,
ENSMUSG00000031641,-5.92E-01,6.85E-01,
ENSMUSG00000031647,1.84E-01,9.13E-01,
ENSMUSG00000031706,1.08E-01,8.89E-01,
ENSMUSG00000031709,-2.08E-01,6.71E-01,
ENSMUSG00000031756,-3.09E-02,9.62E-01,
ENSMUSG00000031774,-1.84E-01,7.33E-01,
ENSMUSG00000031785,-8.90E-01,4.70E-01,
ENSMUSG00000031787,3.23E-01,7.06E-02,
ENSMUSG00000031788,-2.84E-01,4.54E-01,
ENSMUSG00000031803,-1.11E+00,1.58E-01,
ENSMUSG00000031813,-6.87E-01,6.21E-01,
ENSMUSG00000031826,6.86E-02,9.16E-01,
ENSMUSG00000031827,8.38E-01,6.21E-01,
ENSMUSG00000031858,-5.21E-01,3.32E-01,
ENSMUSG00000031862,2.25E-01,8.21E-01,
ENSMUSG00000031878,4.16E-01,2.43E-01,
ENSMUSG00000031879,-2.06E+00,1.18E-01,
ENSMUSG00000031885,-2.69E-01,2.35E-01,
ENSMUSG00000031887,3.21E-02,9.53E-01,
ENSMUSG00000031889,-8.94E-01,5.41E-01,
ENSMUSG00000031903,-1.42E-02,9.91E-01,
ENSMUSG00000031906,-4.41E-01,7.85E-01,
ENSMUSG00000031907,3.75E-01,6.22E-01,
ENSMUSG00000031925,-7.30E-02,9.30E-01,
ENSMUSG00000031932,7.16E-01,7.89E-04,
ENSMUSG00000031960,2.25E-01,6.93E-01,
ENSMUSG00000031984,4.27E-01,8.62E-01,
ENSMUSG00000031990,2.57E-01,2.50E-01,
ENSMUSG00000031996,2.97E-01,6.77E-01,
ENSMUSG00000032000,-2.81E-01,1.96E-02,
ENSMUSG00000032002,1.06E-01,5.78E-01,
ENSMUSG00000032013,1.59E-01,8.56E-01,
ENSMUSG00000032041,1.76E-01,9.18E-01,
ENSMUSG00000032044,-1.33E+00,1.77E-04,
ENSMUSG00000032064,3.76E-02,9.72E-01,
ENSMUSG00000032077,-2.06E+00,4.27E-02,
ENSMUSG00000032093,-3.15E-01,6.56E-01,
ENSMUSG00000032105,-5.69E-01,5.30E-01,
ENSMUSG00000032109,-4.09E-01,7.84E-01,
ENSMUSG00000032114,-2.53E+00,9.13E-02,
ENSMUSG00000032115,2.17E-01,5.60E-01,
ENSMUSG00000032119,-2.79E-01,7.87E-01,
ENSMUSG00000032120,-9.79E-01,2.02E-01,
ENSMUSG00000032126,2.25E-01,4.54E-01,
ENSMUSG00000032127,-5.51E-02,9.26E-01,
ENSMUSG00000032131,-5.75E-01,5.59E-01,
ENSMUSG00000032175,-2.34E-01,6.67E-01,
ENSMUSG00000032177,2.28E-01,2.88E-01,
ENSMUSG00000032185,-1.56E-02,9.85E-01,
ENSMUSG00000032187,5.04E-01,6.59E-01,
ENSMUSG00000032193,-1.03E+00,2.03E-01,
ENSMUSG00000032194,3.39E-02,9.65E-01,
ENSMUSG00000032198,-2.40E-01,8.11E-01,
ENSMUSG00000032212,-1.79E-01,8.61E-01,
ENSMUSG00000032224,-2.66E-01,7.69E-01,
ENSMUSG00000032231,-4.61E-01,5.10E-01,
ENSMUSG00000032238,-1.41E+00,3.20E-01,
ENSMUSG00000032299,7.85E-01,2.75E-02,
ENSMUSG00000032305,1.82E+00,3.47E-06,
ENSMUSG00000032310,8.70E-01,3.93E-01,
ENSMUSG00000032311,5.91E-02,9.54E-01,
ENSMUSG00000032323,-3.28E-01,8.06E-01,
ENSMUSG00000032324,-3.22E-01,8.79E-01,
ENSMUSG00000032334,-1.12E+00,2.02E-19,
ENSMUSG00000032363,1.40E-01,5.38E-01,
ENSMUSG00000032376,-2.59E-01,8.32E-01,
ENSMUSG00000032387,-1.96E+00,8.16E-02,
ENSMUSG00000032393,-3.89E-01,1.42E-01,
ENSMUSG00000032396,-3.32E-01,8.07E-01,
ENSMUSG00000032425,3.78E-01,3.43E-02,
ENSMUSG00000032436,-1.57E-01,9.23E-01,
ENSMUSG00000032463,3.56E-01,1.16E-02,
ENSMUSG00000032481,6.19E-01,1.73E-01,
ENSMUSG00000032482,3.16E-01,2.54E-01,
ENSMUSG00000032492,-9.21E-02,9.30E-01,
ENSMUSG00000032497,-1.19E+00,1.43E-06,
ENSMUSG00000032511,-1.31E+00,8.09E-03,
ENSMUSG00000032536,1.23E+00,1.33E-01,
ENSMUSG00000032555,2.19E-02,9.71E-01,
ENSMUSG00000032560,8.28E-01,3.68E-02,
ENSMUSG00000032561,1.05E+00,5.05E-01,
ENSMUSG00000032570,-2.33E-01,8.16E-01,
ENSMUSG00000032571,-1.08E+00,4.09E-01,
ENSMUSG00000032580,8.97E-03,9.83E-01,
ENSMUSG00000032582,-1.14E+00,4.84E-02,
ENSMUSG00000032583,-4.22E-01,7.23E-01,
ENSMUSG00000032584,3.24E-01,8.47E-01,
ENSMUSG00000032586,-6.86E-01,6.04E-01,
ENSMUSG00000032589,2.97E-01,1.57E-01,
ENSMUSG00000032594,-1.36E-01,8.95E-01,
ENSMUSG00000032596,2.98E-01,5.94E-01,
ENSMUSG00000032599,-3.27E+00,1.09E-01,
ENSMUSG00000032601,-6.65E-01,3.25E-01,
ENSMUSG00000032602,-1.65E-01,8.94E-01,
ENSMUSG00000032604,-7.47E-01,2.01E-03,
ENSMUSG00000032609,-8.05E-02,6.65E-01,
ENSMUSG00000032621,-7.14E-01,6.32E-01,
ENSMUSG00000032624,-1.20E+00,2.21E-01,
ENSMUSG00000032637,3.41E-02,9.65E-01,
ENSMUSG00000032649,1.16E+00,3.06E-01,
ENSMUSG00000032657,1.31E+00,1.59E-01,
ENSMUSG00000032661,-1.31E+00,1.93E-08,
ENSMUSG00000032666,-7.30E-01,6.15E-01,
ENSMUSG00000032667,-1.29E-01,3.30E-01,
ENSMUSG00000032673,5.01E-01,3.76E-01,
ENSMUSG00000032690,-2.16E+00,2.17E-02,
ENSMUSG00000032691,-4.25E-01,5.98E-01,
ENSMUSG00000032740,-7.82E-01,4.55E-01,
ENSMUSG00000032750,-6.27E-01,6.07E-01,
ENSMUSG00000032757,9.68E-01,2.77E-15,
ENSMUSG00000032763,1.22E+00,1.16E-01,
ENSMUSG00000032766,7.49E-01,7.37E-03,
ENSMUSG00000032815,-2.18E-01,5.30E-01,
ENSMUSG00000032816,-1.77E-01,7.60E-01,
ENSMUSG00000032826,4.07E-01,6.15E-01,
ENSMUSG00000032827,-1.40E-01,8.27E-01,
ENSMUSG00000032834,-3.30E+00,3.50E-03,
ENSMUSG00000032845,1.53E-01,8.62E-01,
ENSMUSG00000032846,-4.24E-01,8.64E-01,
ENSMUSG00000032869,-6.53E-02,9.53E-01,
ENSMUSG00000032878,-4.37E-02,9.64E-01,
ENSMUSG00000032936,7.46E-01,5.50E-01,
ENSMUSG00000032988,-8.75E-01,7.09E-07,
ENSMUSG00000032998,1.43E-01,7.92E-01,
ENSMUSG00000033016,-2.47E-01,6.99E-01,
ENSMUSG00000033033,1.58E+00,7.09E-03,
ENSMUSG00000033039,-3.66E-01,5.62E-01,
ENSMUSG00000033047,-5.76E+00,2.04E-05,
ENSMUSG00000033088,9.98E-02,9.13E-01,
ENSMUSG00000033105,-3.24E-02,9.48E-01,
ENSMUSG00000033152,2.79E+00,1.53E-06,
ENSMUSG00000033196,1.47E-01,7.44E-01,
ENSMUSG00000033209,-5.80E-01,6.09E-01,
ENSMUSG00000033237,-1.62E+00,6.94E-02,
ENSMUSG00000033257,1.80E+00,1.34E-05,
ENSMUSG00000033306,-6.05E-01,6.53E-01,
ENSMUSG00000033327,1.27E-01,6.78E-01,
ENSMUSG00000033392,-1.76E+00,2.25E-02,
ENSMUSG00000033400,8.28E-01,1.68E-01,
ENSMUSG00000033420,-7.16E-01,3.66E-01,
ENSMUSG00000033427,9.20E-01,8.55E-02,
ENSMUSG00000033434,-4.73E-01,1.87E-01,
ENSMUSG00000033478,-8.79E-01,5.09E-01,
ENSMUSG00000033498,5.37E-01,3.92E-01,
ENSMUSG00000033526,-7.61E-02,7.79E-01,
ENSMUSG00000033538,-6.22E-01,4.34E-08,
ENSMUSG00000033544,-1.08E+00,3.02E-01,
ENSMUSG00000033590,1.43E+00,6.30E-04,
ENSMUSG00000033595,-1.40E-01,7.36E-01,
ENSMUSG00000033596,-5.64E-01,1.26E-01,
ENSMUSG00000033597,6.08E-01,1.12E-01,
ENSMUSG00000033623,5.06E-02,9.06E-01,
ENSMUSG00000033634,-1.32E-01,5.93E-01,
ENSMUSG00000033671,-1.10E-01,5.39E-01,
ENSMUSG00000033697,-1.20E+00,8.99E-02,
ENSMUSG00000033701,-7.11E-01,5.48E-01,
ENSMUSG00000033703,1.97E-01,5.78E-01,
ENSMUSG00000033705,-6.47E-02,7.84E-01,
ENSMUSG00000033717,-1.13E-01,8.61E-01,
ENSMUSG00000033728,-3.14E-01,6.22E-01,
ENSMUSG00000033730,4.35E-01,6.34E-01,
ENSMUSG00000033732,3.25E-01,3.41E-01,
ENSMUSG00000033760,-5.19E-01,5.01E-01,
ENSMUSG00000033768,4.32E+00,2.99E-18,
ENSMUSG00000033769,-2.31E+00,4.95E-02,
ENSMUSG00000033773,3.12E-01,6.71E-01,
ENSMUSG00000033826,4.52E-01,6.35E-01,
ENSMUSG00000033845,9.29E-02,6.39E-01,
ENSMUSG00000033857,-3.86E-01,8.23E-01,
ENSMUSG00000033862,1.88E-01,7.09E-01,
ENSMUSG00000033906,-9.86E-02,9.58E-01,
ENSMUSG00000033909,-2.69E-01,7.59E-01,
ENSMUSG00000033918,6.90E-01,1.03E-01,
ENSMUSG00000033933,-7.37E-01,2.61E-01,
ENSMUSG00000033943,1.56E-01,6.08E-01,
ENSMUSG00000033960,6.46E-01,3.72E-02,
ENSMUSG00000033987,-4.47E+00,9.21E-06,
ENSMUSG00000034009,-6.99E-01,2.94E-01,
ENSMUSG00000034023,-1.37E-02,9.59E-01,
ENSMUSG00000034031,-7.43E-01,5.36E-01,
ENSMUSG00000034032,-5.04E-01,6.23E-01,
ENSMUSG00000034066,2.37E-01,2.94E-01,
ENSMUSG00000034101,7.56E-01,1.81E-01,
ENSMUSG00000034105,-6.82E-01,3.38E-01,
ENSMUSG00000034126,-3.04E-01,3.50E-01,
ENSMUSG00000034135,-1.43E+00,3.51E-01,
ENSMUSG00000034152,6.11E-01,7.02E-02,
ENSMUSG00000034154,-3.02E-02,9.87E-01,
ENSMUSG00000034160,5.79E+00,1.18E-03,
ENSMUSG00000034171,-1.36E-01,8.64E-01,
ENSMUSG00000034192,3.19E-01,6.68E-01,
ENSMUSG00000034201,9.82E-01,5.97E-01,
ENSMUSG00000034206,4.62E-01,2.09E-02,
ENSMUSG00000034211,-5.37E-01,5.50E-01,
ENSMUSG00000034247,-2.83E-01,7.87E-01,
ENSMUSG00000034248,-2.09E+00,8.92E-07,
ENSMUSG00000034254,-2.94E-01,7.52E-01,
ENSMUSG00000034255,1.77E-01,8.83E-01,
ENSMUSG00000034269,-5.40E-02,8.90E-01,
ENSMUSG00000034282,-2.35E-01,8.20E-01,
ENSMUSG00000034297,2.92E-01,7.97E-01,
ENSMUSG00000034300,5.03E-02,8.14E-01,
ENSMUSG00000034303,9.42E-01,5.06E-05,
ENSMUSG00000034312,-4.56E-01,3.34E-01,
ENSMUSG00000034321,-1.59E+00,7.04E-03,
ENSMUSG00000034342,-2.21E-01,5.43E-01,
ENSMUSG00000034345,7.54E-01,1.09E-07,
ENSMUSG00000034362,-1.45E+00,3.24E-01,
ENSMUSG00000034377,-7.36E-01,3.61E-01,
ENSMUSG00000034379,-1.98E+00,1.61E-06,
ENSMUSG00000034382,-6.09E-01,6.39E-01,
ENSMUSG00000034394,5.04E-01,5.53E-01,
ENSMUSG00000034442,2.19E-01,8.60E-01,
ENSMUSG00000034452,2.71E-01,8.86E-01,
ENSMUSG00000034460,1.47E-01,9.15E-01,
ENSMUSG00000034463,4.43E-01,4.47E-01,
ENSMUSG00000034471,3.16E-01,6.78E-01,
ENSMUSG00000034533,-2.89E-01,8.04E-01,
ENSMUSG00000034543,2.87E-01,2.80E-01,
ENSMUSG00000034574,1.10E+00,3.46E-03,
ENSMUSG00000034579,-1.41E-01,9.58E-01,
ENSMUSG00000034586,3.73E-01,5.66E-01,
ENSMUSG00000034593,7.72E-01,2.66E-01,
ENSMUSG00000034602,-5.43E-02,9.64E-01,
ENSMUSG00000034613,-4.99E-01,7.19E-01,
ENSMUSG00000034614,3.53E-01,7.04E-01,
ENSMUSG00000034616,-3.49E-01,1.17E-02,
ENSMUSG00000034659,-5.01E-01,1.43E-02,
ENSMUSG00000034675,1.15E+00,8.39E-02,
ENSMUSG00000034683,-1.22E+00,2.80E-01,
ENSMUSG00000034684,-7.63E-01,1.35E-02,
ENSMUSG00000034724,-6.32E-01,5.20E-01,
ENSMUSG00000034729,-2.83E-01,4.97E-01,
ENSMUSG00000034764,5.31E-01,1.81E-01,
ENSMUSG00000034765,-1.57E+00,6.30E-01,
ENSMUSG00000034768,-4.52E-01,6.83E-01,
ENSMUSG00000034771,-2.97E-01,8.57E-01,
ENSMUSG00000034773,8.09E-01,3.92E-01,
ENSMUSG00000034781,1.80E+00,1.87E-24,
ENSMUSG00000034801,6.11E-01,5.69E-01,
ENSMUSG00000034818,-6.43E-01,2.94E-01,
ENSMUSG00000034820,-7.88E-01,1.65E-01,
ENSMUSG00000034832,4.34E-01,1.28E-06,
ENSMUSG00000034863,-1.07E-01,7.57E-01,
ENSMUSG00000034889,2.89E-01,8.05E-01,
ENSMUSG00000034902,9.24E-02,6.52E-01,
ENSMUSG00000034936,1.03E-02,9.95E-01,
ENSMUSG00000034949,-3.01E-01,7.88E-01,
ENSMUSG00000034974,7.62E-01,1.74E-01,
ENSMUSG00000034997,-1.25E+00,1.20E-01,
ENSMUSG00000035007,2.55E-01,6.36E-01,
ENSMUSG00000035021,-2.78E+00,9.41E-02,
ENSMUSG00000035024,-4.95E-01,5.37E-01,
ENSMUSG00000035033,-6.98E-01,1.82E-01,
ENSMUSG00000035086,2.86E-01,3.92E-01,
ENSMUSG00000035093,-7.87E-01,2.06E-01,
ENSMUSG00000035152,3.59E-01,2.68E-01,
ENSMUSG00000035158,-1.17E+00,2.22E-01,
ENSMUSG00000035161,-3.22E-01,3.68E-01,
ENSMUSG00000035172,9.23E-01,4.23E-01,
ENSMUSG00000035181,-1.12E+00,7.92E-02,
ENSMUSG00000035184,-5.87E-01,4.81E-01,
ENSMUSG00000035187,-1.17E-02,9.91E-01,
ENSMUSG00000035203,8.54E-01,2.45E-01,
ENSMUSG00000035206,-3.21E-01,7.55E-01,
ENSMUSG00000035228,1.93E-01,8.57E-01,
ENSMUSG00000035239,1.46E+00,6.20E-02,
ENSMUSG00000035247,-1.35E-01,7.77E-01,
ENSMUSG00000035262,5.26E-01,4.48E-03,
ENSMUSG00000035293,1.13E+00,2.35E-01,
ENSMUSG00000035297,8.18E-01,1.55E-07,
ENSMUSG00000035342,-3.74E-01,5.51E-01,
ENSMUSG00000035372,-1.39E+00,3.38E-01,
ENSMUSG00000035390,-1.67E+00,1.03E-01,
ENSMUSG00000035397,1.15E-02,9.93E-01,
ENSMUSG00000035401,-3.82E-01,4.48E-01,
ENSMUSG00000035437,4.52E-01,2.80E-01,
ENSMUSG00000035448,6.44E-01,7.69E-04,
ENSMUSG00000035455,-2.78E-01,8.24E-01,
ENSMUSG00000035495,1.75E-01,2.86E-01,
ENSMUSG00000035504,9.58E-01,2.84E-04,
ENSMUSG00000035517,-2.84E-01,3.83E-03,
ENSMUSG00000035539,1.29E-01,9.33E-01,
ENSMUSG00000035545,-4.86E-02,8.76E-01,
ENSMUSG00000035561,2.11E-01,4.09E-01,
ENSMUSG00000035572,1.81E-01,2.82E-01,
ENSMUSG00000035578,1.30E-01,9.10E-01,
ENSMUSG00000035585,-8.59E-01,2.10E-01,
ENSMUSG00000035594,-1.51E-02,9.59E-01,
ENSMUSG00000035596,-1.88E-01,5.03E-01,
ENSMUSG00000035601,1.69E-01,6.76E-01,
ENSMUSG00000035614,1.18E-01,8.79E-01,
ENSMUSG00000035623,6.40E-01,9.80E-09,
ENSMUSG00000035632,-8.24E-02,9.24E-01,
ENSMUSG00000035637,-1.05E+00,8.37E-09,
ENSMUSG00000035640,-3.28E-02,9.53E-01,
ENSMUSG00000035649,2.02E-01,3.41E-01,
ENSMUSG00000035673,-2.78E-01,6.81E-01,
ENSMUSG00000035674,-2.81E+00,1.14E-01,
ENSMUSG00000035678,-2.92E-01,8.37E-01,
ENSMUSG00000035683,1.63E+00,6.93E-05,
ENSMUSG00000035696,1.72E-02,9.31E-01,
ENSMUSG00000035711,5.15E-01,6.23E-01,
ENSMUSG00000035735,2.69E+00,1.98E-03,
ENSMUSG00000035754,-1.51E+00,2.43E-01,
ENSMUSG00000035764,2.90E-01,8.02E-01,
ENSMUSG00000035778,-3.44E-02,9.67E-01,
ENSMUSG00000035861,-9.71E-01,3.68E-01,
ENSMUSG00000035868,-2.25E-01,7.83E-01,
ENSMUSG00000035878,2.92E-01,3.83E-01,
ENSMUSG00000035933,-2.22E+00,1.35E-01,
ENSMUSG00000035949,6.17E-01,5.57E-02,
ENSMUSG00000035954,-3.01E-01,1.87E-01,
ENSMUSG00000035969,-1.29E-01,3.78E-01,
ENSMUSG00000036002,3.73E-01,2.27E-02,
ENSMUSG00000036052,8.21E-01,3.08E-09,
ENSMUSG00000036054,8.04E-01,2.21E-01,
ENSMUSG00000036067,-1.53E-01,8.43E-01,
ENSMUSG00000036073,5.50E-01,3.29E-02,
ENSMUSG00000036078,-2.83E-01,2.34E-02,
ENSMUSG00000036087,-1.02E-01,9.54E-01,
ENSMUSG00000036097,6.04E-02,9.53E-01,
ENSMUSG00000036098,8.55E-01,5.75E-02,
ENSMUSG00000036103,-3.01E-01,1.53E-01,
ENSMUSG00000036104,1.86E-01,4.76E-01,
ENSMUSG00000036114,2.82E-01,5.77E-01,
ENSMUSG00000036120,-6.72E-01,1.81E-01,
ENSMUSG00000036151,2.88E-01,6.38E-01,
ENSMUSG00000036155,-1.18E+00,2.07E-01,
ENSMUSG00000036167,6.33E-01,2.49E-01,
ENSMUSG00000036172,1.15E+00,5.51E-04,
ENSMUSG00000036241,3.02E-01,7.45E-03,
ENSMUSG00000036309,4.18E-01,3.90E-01,
ENSMUSG00000036333,-2.43E-01,7.29E-01,
ENSMUSG00000036362,-1.71E+00,3.23E-25,
ENSMUSG00000036371,6.79E-01,5.53E-08,
ENSMUSG00000036391,-3.69E-01,7.06E-01,
ENSMUSG00000036402,-6.95E-01,7.73E-01,
ENSMUSG00000036432,-1.53E-01,8.95E-01,
ENSMUSG00000036450,-6.46E-01,4.60E-01,
ENSMUSG00000036473,-2.53E-01,3.85E-01,
ENSMUSG00000036555,9.69E-01,3.13E-05,
ENSMUSG00000036561,1.61E-01,3.37E-01,
ENSMUSG00000036565,1.44E+00,1.61E-21,
ENSMUSG00000036572,1.05E+00,3.17E-06,
ENSMUSG00000036591,9.37E-01,3.12E-01,
ENSMUSG00000036599,-4.22E-01,8.42E-01,
ENSMUSG00000036615,2.08E+00,1.08E-04,
ENSMUSG00000036622,9.06E-01,5.00E-05,
ENSMUSG00000036644,-5.83E-02,9.77E-01,
ENSMUSG00000036646,-7.57E-02,9.08E-01,
ENSMUSG00000036707,2.70E+00,4.17E-09,
ENSMUSG00000036737,5.92E-01,6.89E-02,
ENSMUSG00000036764,-2.02E-01,8.39E-01,
ENSMUSG00000036768,4.74E-01,6.78E-01,
ENSMUSG00000036792,5.31E-01,4.54E-01,
ENSMUSG00000036820,-4.25E-01,7.46E-01,
ENSMUSG00000036822,-2.34E-01,1.21E-01,
ENSMUSG00000036898,2.92E-01,2.45E-01,
ENSMUSG00000036904,-8.73E-01,3.70E-01,
ENSMUSG00000036913,1.61E-01,8.94E-01,
ENSMUSG00000036921,1.94E-01,6.15E-01,
ENSMUSG00000036923,-3.08E+00,3.43E-30,
