ID,log2FC,FDR,label
ENSMUSG00000008435,-7.95E-01,4.86E-01,
ENSMUSG00000008763,1.36E+00,9.16E-14,
ENSMUSG00000009145,2.38E+00,1.65E-04,
ENSMUSG00000009376,-1.52E+00,3.13E-05,
ENSMUSG00000009378,-2.50E+00,1.04E-63,
ENSMUSG00000009418,-1.42E-01,8.49E-01,
ENSMUSG00000009555,1.03E+00,2.24E-14,
ENSMUSG00000009566,-1.28E-01,6.92E-01,
ENSMUSG00000009647,-6.06E-01,2.60E-01,
ENSMUSG00000009687,9.85E-01,3.32E-01,
ENSMUSG00000009739,6.98E-01,2.27E-01,
ENSMUSG00000009907,-7.31E-02,9.55E-01,
ENSMUSG00000009927,7.30E-01,2.15E-02,
ENSMUSG00000010064,-2.37E-01,4.65E-01,
ENSMUSG00000010097,2.42E-01,7.44E-01,
ENSMUSG00000010175,-5.15E-03,9.96E-01,
ENSMUSG00000010277,-8.33E-01,2.55E-01,
ENSMUSG00000010392,1.70E-01,8.79E-01,
ENSMUSG00000010406,-4.29E-01,3.43E-02,
ENSMUSG00000010529,5.69E-01,2.41E-01,
ENSMUSG00000010554,2.32E-02,9.66E-01,
ENSMUSG00000010608,6.56E-03,9.77E-01,
ENSMUSG00000010721,-1.01E-01,7.47E-01,
ENSMUSG00000010914,-1.03E+00,5.26E-01,
ENSMUSG00000011158,4.20E-01,8.55E-01,
ENSMUSG00000011171,-5.08E-01,3.50E-01,
ENSMUSG00000011306,3.94E-01,4.68E-01,
ENSMUSG00000011382,4.22E-01,3.80E-01,
ENSMUSG00000011658,1.91E-01,4.86E-01,
ENSMUSG00000011832,2.76E-01,7.22E-01,
ENSMUSG00000011884,2.37E-01,7.27E-01,
ENSMUSG00000012114,7.45E-01,4.02E-01,
ENSMUSG00000012117,1.40E+00,2.67E-01,
ENSMUSG00000012126,-4.15E-01,7.09E-01,
ENSMUSG00000012483,6.87E-01,1.77E-02,
ENSMUSG00000012535,-3.83E-02,8.82E-01,
ENSMUSG00000013033,2.36E-01,8.79E-01,
ENSMUSG00000013236,1.49E-01,6.85E-01,
ENSMUSG00000013622,3.09E-01,6.63E-01,
ENSMUSG00000013646,-9.80E-01,3.16E-05,
ENSMUSG00000013653,-2.74E+00,9.94E-02,
ENSMUSG00000013663,-4.74E-01,2.90E-01,
ENSMUSG00000013787,5.54E-01,2.86E-01,
ENSMUSG00000013858,3.05E-01,6.46E-01,
ENSMUSG00000014158,-1.74E+00,5.37E-02,
